20231130	20:28:30	4459d0ff-0599-4a8a-8ba2-c80c38fe5270	/new-page.html	GET
20231130	20:28:31	8a827873-0dc4-445e-9dde-3b360db43a37	/css/style.css	GET
20231130	20:28:31	958e9b6a-1921-4edb-bceb-f03224a4c12c	/img/img1.jpg	GET
20231201	10:15:22	8b145012-301e-4bb1-9746-e4e93329a32b	GET	undefined	/
20231201	10:15:22	c9c818a8-a372-4596-b8f4-d0d7d161ddc0	GET	undefined	/css/style.css
20231201	10:26:10	b6050cb1-6883-4967-b589-58a218e00db8	GET	undefined	/
20231201	10:26:10	50e38aed-1033-490e-85a7-9642ab586141	GET	undefined	/css/style.css
20231201	10:26:14	b88e8331-7070-417b-a066-999bbca7e94a	GET	undefined	/
20231201	10:26:14	a13b87d8-ae79-4069-a4ad-24f2bae65020	GET	undefined	/css/style.css
20231201	10:29:30	93de3fd8-48e9-4664-9eb2-2732b9e2af5b	GET	undefined	/new-page.html
20231201	10:29:30	598e89dd-dd32-4c03-8265-07257419cbaa	GET	undefined	/css/style.css
20231201	10:29:30	fd28025e-563c-4efd-960e-73b752f14929	GET	undefined	/img/img1.jpg
20231201	10:32:12	cca6bfa7-ff1a-497c-b1c7-bac3b23c6845	GET	undefined	/new-page.html
20231201	10:32:15	fd5a583d-cb53-41d0-86c9-243ce1ef7488	GET	undefined	/
20231201	10:32:42	7e9d4bd1-fc95-4090-9b86-0082e58f66bf	OPTIONS	https://www.google.com	/
20231201	10:32:43	b4be4c4f-beab-4edc-9794-3993cb069018	GET	https://www.google.com	/
20231201	10:32:54	ce9d4067-9c1f-492a-aa80-6889e6f4d354	GET	undefined	/new-page.html
20231201	12:04:21	f3f7525b-ef80-4486-94a9-5985aa50dcee	GET	undefined	/new-page.html
20231201	12:04:21	d6e4198b-e332-44de-9aa0-3fef3009b3c6	GET	undefined	/css/style.css
20231201	12:04:21	023707a2-4840-4431-a6de-f4a24d69c43d	GET	undefined	/img/img1.jpg
20231201	12:04:29	d1524161-fd3c-4da9-994c-5911361d08e3	GET	undefined	/
20231201	12:04:29	c943d8a3-5926-4c0a-a7b3-5db9b7c9e796	GET	undefined	/css/style.css
20231201	12:04:37	b98e8cf2-33a7-4946-8208-51188b1ccc11	GET	undefined	/index
20231201	12:04:37	b37d0320-419d-4ba4-bfdf-d40b148705ad	GET	undefined	/css/style.css
